num_centers = 38500
epoch_inds: tensor([28994, 10160,  9026,  ...,    -1,    -1,    -1])
e000-i0114 => L=0.616 / t(s): batch=0.502 extract=0.039 vlad=0.021 loss=0.014 optim=0.116
e000-i0116 => L=0.652 / t(s): batch=0.487 extract=0.039 vlad=0.021 loss=0.012 optim=0.112
e000-i0118 => L=0.613 / t(s): batch=0.471 extract=0.038 vlad=0.021 loss=0.011 optim=0.108
e000-i0120 => L=0.677 / t(s): batch=0.460 extract=0.037 vlad=0.021 loss=0.011 optim=0.106
e000-i0122 => L=0.642 / t(s): batch=0.476 extract=0.038 vlad=0.021 loss=0.012 optim=0.108
e000-i0124 => L=0.729 / t(s): batch=0.469 extract=0.038 vlad=0.021 loss=0.012 optim=0.108
e000-i0126 => L=0.765 / t(s): batch=0.449 extract=0.037 vlad=0.021 loss=0.010 optim=0.104
e000-i0128 => L=0.614 / t(s): batch=0.448 extract=0.037 vlad=0.021 loss=0.011 optim=0.108
e000-i0130 => L=0.702 / t(s): batch=0.432 extract=0.036 vlad=0.021 loss=0.010 optim=0.103
e000-i0132 => L=0.653 / t(s): batch=0.440 extract=0.037 vlad=0.021 loss=0.010 optim=0.104
e000-i0134 => L=0.664 / t(s): batch=0.430 extract=0.037 vlad=0.021 loss=0.010 optim=0.104
e000-i0136 => L=0.721 / t(s): batch=0.435 extract=0.037 vlad=0.021 loss=0.010 optim=0.105
e000-i0138 => L=0.569 / t(s): batch=0.442 extract=0.038 vlad=0.021 loss=0.011 optim=0.115
e000-i0139 => L=0.543 / t(s): batch=0.536 extract=0.038 vlad=0.021 loss=0.012 optim=0.119
e000-i0140 => L=0.597 / t(s): batch=0.615 extract=0.039 vlad=0.021 loss=0.013 optim=0.120
e000-i0142 => L=0.655 / t(s): batch=0.593 extract=0.039 vlad=0.021 loss=0.016 optim=0.121
e000-i0144 => L=0.640 / t(s): batch=0.586 extract=0.038 vlad=0.021 loss=0.014 optim=0.114
e000-i0146 => L=0.817 / t(s): batch=0.545 extract=0.037 vlad=0.021 loss=0.013 optim=0.109
e000-i0148 => L=0.649 / t(s): batch=0.532 extract=0.037 vlad=0.021 loss=0.017 optim=0.110
e000-i0150 => L=0.691 / t(s): batch=0.514 extract=0.037 vlad=0.021 loss=0.016 optim=0.110
e000-i0152 => L=0.713 / t(s): batch=0.510 extract=0.037 vlad=0.020 loss=0.015 optim=0.110
e000-i0154 => L=0.446 / t(s): batch=0.494 extract=0.037 vlad=0.021 loss=0.014 optim=0.107
e000-i0156 => L=0.668 / t(s): batch=0.484 extract=0.037 vlad=0.021 loss=0.014 optim=0.109
e000-i0158 => L=0.482 / t(s): batch=0.475 extract=0.037 vlad=0.021 loss=0.014 optim=0.109
e000-i0160 => L=0.625 / t(s): batch=0.478 extract=0.037 vlad=0.020 loss=0.012 optim=0.106
e000-i0162 => L=0.664 / t(s): batch=0.486 extract=0.038 vlad=0.021 loss=0.013 optim=0.111
e000-i0164 => L=0.719 / t(s): batch=0.493 extract=0.039 vlad=0.020 loss=0.015 optim=0.115
e000-i0166 => L=0.700 / t(s): batch=0.488 extract=0.039 vlad=0.020 loss=0.014 optim=0.113
e000-i0168 => L=0.679 / t(s): batch=0.500 extract=0.039 vlad=0.020 loss=0.014 optim=0.114
e000-i0170 => L=0.692 / t(s): batch=0.496 extract=0.040 vlad=0.020 loss=0.015 optim=0.116
e000-i0172 => L=0.636 / t(s): batch=0.488 extract=0.039 vlad=0.020 loss=0.014 optim=0.115
e000-i0174 => L=0.658 / t(s): batch=0.491 extract=0.040 vlad=0.021 loss=0.015 optim=0.117
e000-i0176 => L=0.589 / t(s): batch=0.523 extract=0.040 vlad=0.021 loss=0.014 optim=0.115
e000-i0178 => L=0.726 / t(s): batch=0.509 extract=0.039 vlad=0.021 loss=0.014 optim=0.114
e000-i0180 => L=0.701 / t(s): batch=0.505 extract=0.039 vlad=0.021 loss=0.014 optim=0.120
e000-i0182 => L=0.770 / t(s): batch=0.497 extract=0.039 vlad=0.021 loss=0.013 optim=0.117
e000-i0184 => L=0.694 / t(s): batch=0.482 extract=0.038 vlad=0.021 loss=0.012 optim=0.113
e000-i0186 => L=0.650 / t(s): batch=0.481 extract=0.039 vlad=0.021 loss=0.013 optim=0.115
e000-i0188 => L=0.691 / t(s): batch=0.473 extract=0.039 vlad=0.021 loss=0.013 optim=0.114
e000-i0190 => L=0.625 / t(s): batch=0.456 extract=0.038 vlad=0.021 loss=0.012 optim=0.110
e000-i0192 => L=0.604 / t(s): batch=0.464 extract=0.038 vlad=0.021 loss=0.012 optim=0.111
e000-i0193 => L=0.653 / t(s): batch=0.597 extract=0.038 vlad=0.022 loss=0.011 optim=0.109
e000-i0195 => L=0.581 / t(s): batch=0.575 extract=0.038 vlad=0.022 loss=0.011 optim=0.111
e000-i0197 => L=0.573 / t(s): batch=0.545 extract=0.038 vlad=0.022 loss=0.011 optim=0.108
e000-i0199 => L=0.586 / t(s): batch=0.550 extract=0.039 vlad=0.022 loss=0.014 optim=0.115
e000-i0201 => L=0.387 / t(s): batch=0.533 extract=0.039 vlad=0.021 loss=0.014 optim=0.115
e000-i0203 => L=0.752 / t(s): batch=0.534 extract=0.040 vlad=0.022 loss=0.015 optim=0.117
e000-i0205 => L=0.633 / t(s): batch=0.506 extract=0.038 vlad=0.022 loss=0.012 optim=0.111
e000-i0207 => L=0.542 / t(s): batch=0.515 extract=0.039 vlad=0.022 loss=0.014 optim=0.117
e000-i0210 => L=0.847 / t(s): batch=0.470 extract=0.037 vlad=0.022 loss=0.011 optim=0.108
e000-i0212 => L=0.572 / t(s): batch=0.467 extract=0.037 vlad=0.022 loss=0.012 optim=0.109
e000-i0214 => L=0.601 / t(s): batch=0.465 extract=0.037 vlad=0.021 loss=0.012 optim=0.114
e000-i0216 => L=0.754 / t(s): batch=0.459 extract=0.037 vlad=0.022 loss=0.012 optim=0.113
e000-i0218 => L=0.745 / t(s): batch=0.442 extract=0.036 vlad=0.022 loss=0.011 optim=0.109
e000-i0220 => L=0.705 / t(s): batch=0.449 extract=0.037 vlad=0.021 loss=0.012 optim=0.110
e000-i0222 => L=0.702 / t(s): batch=0.455 extract=0.037 vlad=0.022 loss=0.012 optim=0.110
e000-i0223 => L=0.610 / t(s): batch=0.567 extract=0.038 vlad=0.022 loss=0.013 optim=0.114
e000-i0225 => L=0.631 / t(s): batch=0.551 extract=0.039 vlad=0.021 loss=0.014 optim=0.117
e000-i0227 => L=0.696 / t(s): batch=0.519 extract=0.038 vlad=0.021 loss=0.013 optim=0.121
e000-i0229 => L=0.694 / t(s): batch=0.498 extract=0.038 vlad=0.021 loss=0.012 optim=0.114
e000-i0231 => L=0.719 / t(s): batch=0.479 extract=0.036 vlad=0.022 loss=0.010 optim=0.108
e000-i0233 => L=0.775 / t(s): batch=0.471 extract=0.036 vlad=0.022 loss=0.011 optim=0.109
e000-i0235 => L=0.692 / t(s): batch=0.475 extract=0.038 vlad=0.021 loss=0.013 optim=0.114
e000-i0237 => L=0.660 / t(s): batch=0.472 extract=0.038 vlad=0.021 loss=0.013 optim=0.118
e000-i0238 => L=0.613 / t(s): batch=0.552 extract=0.038 vlad=0.021 loss=0.014 optim=0.127
e000-i0240 => L=0.664 / t(s): batch=0.517 extract=0.037 vlad=0.022 loss=0.012 optim=0.125
e000-i0242 => L=0.800 / t(s): batch=0.507 extract=0.037 vlad=0.022 loss=0.012 optim=0.122
e000-i0244 => L=0.706 / t(s): batch=0.499 extract=0.038 vlad=0.022 loss=0.012 optim=0.120
e000-i0246 => L=0.684 / t(s): batch=0.496 extract=0.037 vlad=0.022 loss=0.018 optim=0.118
e000-i0248 => L=0.712 / t(s): batch=0.499 extract=0.038 vlad=0.022 loss=0.019 optim=0.128
e000-i0250 => L=0.692 / t(s): batch=0.494 extract=0.038 vlad=0.022 loss=0.017 optim=0.124
e000-i0252 => L=0.862 / t(s): batch=0.495 extract=0.038 vlad=0.021 loss=0.017 optim=0.123
e000-i0254 => L=0.751 / t(s): batch=0.490 extract=0.043 vlad=0.021 loss=0.015 optim=0.117
e000-i0256 => L=0.667 / t(s): batch=0.492 extract=0.043 vlad=0.021 loss=0.016 optim=0.126
e000-i0258 => L=0.664 / t(s): batch=0.478 extract=0.041 vlad=0.021 loss=0.022 optim=0.121
e000-i0260 => L=0.695 / t(s): batch=0.463 extract=0.040 vlad=0.021 loss=0.019 optim=0.116
e000-i0262 => L=0.735 / t(s): batch=0.471 extract=0.040 vlad=0.021 loss=0.018 optim=0.115
e000-i0264 => L=0.674 / t(s): batch=0.467 extract=0.039 vlad=0.021 loss=0.017 optim=0.119
e000-i0266 => L=0.686 / t(s): batch=0.471 extract=0.041 vlad=0.021 loss=0.017 optim=0.119
e000-i0268 => L=0.669 / t(s): batch=0.464 extract=0.040 vlad=0.021 loss=0.015 optim=0.116
e000-i0270 => L=0.674 / t(s): batch=0.465 extract=0.044 vlad=0.021 loss=0.015 optim=0.116
e000-i0272 => L=0.555 / t(s): batch=0.458 extract=0.043 vlad=0.021 loss=0.014 optim=0.113
e000-i0274 => L=0.701 / t(s): batch=0.455 extract=0.042 vlad=0.021 loss=0.014 optim=0.113
e000-i0276 => L=0.720 / t(s): batch=0.459 extract=0.041 vlad=0.021 loss=0.013 optim=0.115
e000-i0278 => L=0.689 / t(s): batch=0.467 extract=0.043 vlad=0.021 loss=0.013 optim=0.113
e000-i0280 => L=0.650 / t(s): batch=0.463 extract=0.042 vlad=0.021 loss=0.013 optim=0.116
e000-i0282 => L=0.671 / t(s): batch=0.462 extract=0.041 vlad=0.021 loss=0.013 optim=0.114
e000-i0284 => L=0.615 / t(s): batch=0.460 extract=0.041 vlad=0.021 loss=0.014 optim=0.116
e000-i0286 => L=0.680 / t(s): batch=0.464 extract=0.040 vlad=0.021 loss=0.013 optim=0.113
e000-i0288 => L=0.681 / t(s): batch=0.453 extract=0.040 vlad=0.021 loss=0.012 optim=0.110
e000-i0290 => L=0.708 / t(s): batch=0.459 extract=0.041 vlad=0.021 loss=0.013 optim=0.112
e000-i0292 => L=0.629 / t(s): batch=0.475 extract=0.041 vlad=0.021 loss=0.014 optim=0.116
e000-i0293 => L=0.662 / t(s): batch=0.579 extract=0.042 vlad=0.021 loss=0.016 optim=0.119
e000-i0295 => L=0.691 / t(s): batch=0.558 extract=0.041 vlad=0.021 loss=0.015 optim=0.117
e000-i0297 => L=0.701 / t(s): batch=0.529 extract=0.040 vlad=0.021 loss=0.013 optim=0.113
e000-i0299 => L=0.640 / t(s): batch=0.521 extract=0.043 vlad=0.021 loss=0.013 optim=0.112
e000-i0301 => L=0.604 / t(s): batch=0.508 extract=0.042 vlad=0.021 loss=0.013 optim=0.111
e000-i0303 => L=0.567 / t(s): batch=0.486 extract=0.040 vlad=0.021 loss=0.011 optim=0.105
e000-i0305 => L=0.611 / t(s): batch=0.482 extract=0.040 vlad=0.021 loss=0.012 optim=0.109
e000-i0307 => L=0.735 / t(s): batch=0.466 extract=0.041 vlad=0.021 loss=0.013 optim=0.110
e000-i0309 => L=0.676 / t(s): batch=0.457 extract=0.040 vlad=0.021 loss=0.013 optim=0.109
e000-i0311 => L=0.931 / t(s): batch=0.465 extract=0.040 vlad=0.021 loss=0.014 optim=0.111
e000-i0313 => L=0.736 / t(s): batch=0.460 extract=0.040 vlad=0.021 loss=0.014 optim=0.111
e000-i0315 => L=0.598 / t(s): batch=0.450 extract=0.039 vlad=0.021 loss=0.012 optim=0.108
e000-i0317 => L=0.797 / t(s): batch=0.437 extract=0.037 vlad=0.021 loss=0.011 optim=0.103
e000-i0319 => L=0.697 / t(s): batch=0.433 extract=0.037 vlad=0.021 loss=0.011 optim=0.102
e000-i0321 => L=0.623 / t(s): batch=0.432 extract=0.037 vlad=0.021 loss=0.011 optim=0.103
e000-i0323 => L=0.639 / t(s): batch=0.442 extract=0.037 vlad=0.021 loss=0.012 optim=0.106
e000-i0325 => L=0.649 / t(s): batch=0.445 extract=0.037 vlad=0.021 loss=0.011 optim=0.106
e000-i0327 => L=0.449 / t(s): batch=0.445 extract=0.037 vlad=0.021 loss=0.011 optim=0.105
e000-i0329 => L=0.714 / t(s): batch=0.432 extract=0.036 vlad=0.021 loss=0.010 optim=0.102
e000-i0331 => L=0.714 / t(s): batch=0.437 extract=0.036 vlad=0.021 loss=0.011 optim=0.104
e000-i0333 => L=0.859 / t(s): batch=0.448 extract=0.038 vlad=0.021 loss=0.013 optim=0.110
e000-i0335 => L=0.737 / t(s): batch=0.443 extract=0.037 vlad=0.021 loss=0.013 optim=0.109
e000-i0337 => L=0.488 / t(s): batch=0.457 extract=0.037 vlad=0.021 loss=0.013 optim=0.110
e000-i0339 => L=0.743 / t(s): batch=0.446 extract=0.037 vlad=0.021 loss=0.012 optim=0.114
e000-i0341 => L=0.546 / t(s): batch=0.452 extract=0.037 vlad=0.021 loss=0.012 optim=0.119
e000-i0342 => L=0.616 / t(s): batch=0.553 extract=0.038 vlad=0.021 loss=0.014 optim=0.121
e000-i0343 => L=0.762 / t(s): batch=0.611 extract=0.037 vlad=0.021 loss=0.012 optim=0.117
e000-i0344 => L=0.495 / t(s): batch=0.664 extract=0.038 vlad=0.021 loss=0.013 optim=0.119
e000-i0346 => L=0.604 / t(s): batch=0.619 extract=0.037 vlad=0.021 loss=0.012 optim=0.114
e000-i0348 => L=0.251 / t(s): batch=0.591 extract=0.038 vlad=0.021 loss=0.013 optim=0.115
e000-i0349 => L=0.621 / t(s): batch=0.604 extract=0.039 vlad=0.022 loss=0.015 optim=0.122
e000-i0351 => L=0.444 / t(s): batch=0.595 extract=0.042 vlad=0.023 loss=0.018 optim=0.132
e000-i0353 => L=0.358 / t(s): batch=0.572 extract=0.041 vlad=0.023 loss=0.016 optim=0.129
e000-i0355 => L=0.934 / t(s): batch=0.555 extract=0.041 vlad=0.024 loss=0.016 optim=0.130
e000-i0357 => L=0.605 / t(s): batch=0.546 extract=0.041 vlad=0.024 loss=0.016 optim=0.126
e000-i0359 => L=0.652 / t(s): batch=0.520 extract=0.043 vlad=0.023 loss=0.015 optim=0.122
e000-i0361 => L=0.556 / t(s): batch=0.513 extract=0.042 vlad=0.023 loss=0.014 optim=0.121
e000-i0363 => L=0.878 / t(s): batch=0.504 extract=0.042 vlad=0.023 loss=0.013 optim=0.117
e000-i0365 => L=0.803 / t(s): batch=0.490 extract=0.039 vlad=0.022 loss=0.012 optim=0.111
e000-i0367 => L=0.528 / t(s): batch=0.500 extract=0.040 vlad=0.022 loss=0.014 optim=0.119
e000-i0369 => L=0.695 / t(s): batch=0.502 extract=0.040 vlad=0.022 loss=0.014 optim=0.119
e000-i0371 => L=0.757 / t(s): batch=0.481 extract=0.039 vlad=0.022 loss=0.013 optim=0.115
e000-i0373 => L=0.720 / t(s): batch=0.484 extract=0.039 vlad=0.022 loss=0.013 optim=0.114
e000-i0376 => L=0.547 / t(s): batch=0.452 extract=0.037 vlad=0.021 loss=0.011 optim=0.107
e000-i0378 => L=0.432 / t(s): batch=0.469 extract=0.038 vlad=0.021 loss=0.012 optim=0.112
e000-i0380 => L=0.529 / t(s): batch=0.498 extract=0.040 vlad=0.021 loss=0.016 optim=0.121
e000-i0382 => L=0.444 / t(s): batch=0.485 extract=0.039 vlad=0.021 loss=0.014 optim=0.117
e000-i0384 => L=0.496 / t(s): batch=0.488 extract=0.040 vlad=0.021 loss=0.016 optim=0.120
e000-i0386 => L=0.649 / t(s): batch=0.557 extract=0.040 vlad=0.022 loss=0.016 optim=0.122
e000-i0387 => L=0.548 / t(s): batch=0.641 extract=0.040 vlad=0.021 loss=0.015 optim=0.120
e000-i0388 => L=1.231 / t(s): batch=0.709 extract=0.039 vlad=0.021 loss=0.014 optim=0.115
e000-i0389 => L=0.554 / t(s): batch=0.769 extract=0.038 vlad=0.021 loss=0.013 optim=0.111
e000-i0390 => L=0.698 / t(s): batch=0.834 extract=0.038 vlad=0.021 loss=0.014 optim=0.113
e000-i0392 => L=0.550 / t(s): batch=0.764 extract=0.038 vlad=0.021 loss=0.013 optim=0.112
e000-i0394 => L=0.275 / t(s): batch=0.710 extract=0.039 vlad=0.021 loss=0.013 optim=0.113
e000-i0396 => L=0.294 / t(s): batch=0.678 extract=0.040 vlad=0.022 loss=0.015 optim=0.119
e000-i0398 => L=0.275 / t(s): batch=0.645 extract=0.040 vlad=0.022 loss=0.015 optim=0.118
e000-i0400 => L=0.578 / t(s): batch=0.610 extract=0.039 vlad=0.021 loss=0.014 optim=0.116
e000-i0402 => L=0.362 / t(s): batch=0.577 extract=0.038 vlad=0.021 loss=0.014 optim=0.113
e000-i0405 => L=0.626 / t(s): batch=0.515 extract=0.035 vlad=0.021 loss=0.010 optim=0.102
e000-i0407 => L=0.315 / t(s): batch=0.508 extract=0.036 vlad=0.021 loss=0.011 optim=0.103
e000-i0409 => L=0.193 / t(s): batch=0.507 extract=0.037 vlad=0.021 loss=0.012 optim=0.106
e000-i0411 => L=0.000 / t(s): batch=0.513 extract=0.038 vlad=0.021 loss=0.013 optim=0.110
e000-i0413 => L=0.043 / t(s): batch=0.505 extract=0.038 vlad=0.021 loss=0.013 optim=0.110
e000-i0415 => L=0.580 / t(s): batch=0.514 extract=0.039 vlad=0.021 loss=0.013 optim=0.112
e000-i0417 => L=0.459 / t(s): batch=0.506 extract=0.038 vlad=0.021 loss=0.013 optim=0.111
e000-i0419 => L=0.225 / t(s): batch=0.496 extract=0.038 vlad=0.021 loss=0.013 optim=0.109
e000-i0421 => L=0.507 / t(s): batch=0.480 extract=0.037 vlad=0.021 loss=0.012 optim=0.108
e000-i0423 => L=1.204 / t(s): batch=0.481 extract=0.037 vlad=0.021 loss=0.012 optim=0.107
